,Unnamed: 0,mac,count,min_signal,max_signal,avg_signal,last_seen_signal,first_seen,last_seen,associated,node_mac,Unnamed: 11
1413,1413,00:71:c2:19:b4:f5,11.0,-80.0,-65.0,-69.0,-72.0,1583041939,1583041960.0,0.0,AC:86:74:73:BC:08,
1414,1414,38:78:62:46:96:a6,2.0,-85.0,-85.0,-85.0,-85.0,1583041940,1583041940.0,1.0,AC:86:74:73:BC:08,
1415,1415,d8:97:ba:42:71:3e,7.0,-90.0,-86.0,-88.0,-89.0,1583041937,1583041965.0,0.0,AC:86:74:73:BC:08,
1416,1416,da:a1:19:e1:0f:11,2.0,-83.0,-82.0,-82.0,-82.0,1583041956,1583041956.0,0.0,AC:86:74:73:BC:08,
1417,1417,00:71:c2:19:b4:f5,17.0,-72.0,-54.0,-60.0,-70.0,1583041949,1583041971.0,0.0,AC:86:74:92:C5:58,
1418,1418,78:4f:43:3b:f6:8c,7.0,-86.0,-80.0,-82.0,-82.0,1583041970,1583041970.0,0.0,AC:86:74:92:C5:58,
1419,1419,da:a1:19:9f:f6:a3,4.0,-82.0,-77.0,-78.0,-82.0,1583041976,1583041976.0,0.0,AC:86:74:92:C5:58,
1420,1420,da:a1:19:e1:0f:11,2.0,-59.0,-52.0,-55.0,-59.0,1583041956,1583041956.0,0.0,AC:86:74:92:C5:58,
1421,1421,00:71:c2:19:b4:f5,15.0,-82.0,-65.0,-71.0,-77.0,1583041970,1583041991.0,0.0,AC:86:74:73:BC:08,
1422,1422,48:d6:d5:26:6d:0a,32.0,-75.0,-25.0,-40.0,-60.0,1583041988,1583041989.0,0.0,AC:86:74:73:BC:08,
1423,1423,78:4f:43:3b:f6:8c,4.0,-91.0,-88.0,-89.0,-91.0,1583041970,1583041970.0,0.0,AC:86:74:73:BC:08,
1424,1424,d8:97:ba:42:71:3e,3.0,-90.0,-88.0,-89.0,-89.0,1583041976,1583041987.0,0.0,AC:86:74:73:BC:08,
1425,1425,da:a1:19:9f:f6:a3,3.0,-70.0,-65.0,-67.0,-66.0,1583041976,1583041976.0,0.0,AC:86:74:73:BC:08,
1426,1426,00:71:c2:19:b4:f5,21.0,-77.0,-54.0,-62.0,-70.0,1583041980,1583042002.0,0.0,AC:86:74:92:C5:58,
1427,1427,48:d6:d5:26:6d:0a,31.0,-82.0,-66.0,-68.0,-82.0,1583041989,1583041989.0,0.0,AC:86:74:92:C5:58,
1428,1428,00:71:c2:19:b4:f5,12.0,-79.0,-67.0,-71.0,-79.0,1583042001,1583042020.0,0.0,AC:86:74:73:BC:08,
1429,1429,d8:97:ba:42:71:3e,3.0,-89.0,-87.0,-88.0,-89.0,1583041998,1583042020.0,0.0,AC:86:74:73:BC:08,
1430,1430,da:a1:19:16:d1:ed,5.0,-77.0,-72.0,-75.0,-77.0,1583042016,1583042016.0,0.0,AC:86:74:73:BC:08,
1431,1431,00:71:c2:19:b4:f5,18.0,-75.0,-53.0,-61.0,-75.0,1583042009,1583042030.0,0.0,AC:86:74:92:C5:58,
1432,1432,da:a1:19:16:d1:ed,5.0,-73.0,-64.0,-68.0,-73.0,1583042016,1583042016.0,0.0,AC:86:74:92:C5:58,
1433,1433,00:71:c2:19:b4:f5,15.0,-81.0,-65.0,-72.0,-78.0,1583042030,1583042051.0,0.0,AC:86:74:73:BC:08,
1434,1434,d8:97:ba:42:71:3e,3.0,-90.0,-88.0,-89.0,-89.0,1583042041,1583042048.0,0.0,AC:86:74:73:BC:08,
1435,1435,00:71:c2:19:b4:f5,17.0,-78.0,-53.0,-61.0,-70.0,1583042040,1583042061.0,0.0,AC:86:74:92:C5:58,
1436,1436,00:71:c2:19:b4:f5,13.0,-78.0,-66.0,-70.0,-67.0,1583042061,1583042080.0,0.0,AC:86:74:73:BC:08,
1437,1437,d8:97:ba:42:71:3e,5.0,-90.0,-88.0,-89.0,-89.0,1583042059,1583042081.0,0.0,AC:86:74:73:BC:08,
1438,1438,ec:aa:a0:1c:03:dd,1.0,-91.0,-91.0,-91.0,-91.0,1583042062,1583042062.0,0.0,AC:86:74:73:BC:08,
1439,1439,00:71:c2:19:b4:f5,19.0,-72.0,-53.0,-61.0,-72.0,1583042071,1583042090.0,0.0,AC:86:74:92:C5:58,
1440,1440,a0:10:81:6b:29:15,2.0,-92.0,-90.0,-91.0,-90.0,1583042083,1583042083.0,0.0,AC:86:74:92:C5:58,
1441,1441,da:a1:19:bb:c7:c3,5.0,-84.0,-80.0,-82.0,-80.0,1583042096,1583042096.0,0.0,AC:86:74:92:C5:58,
1442,1442,00:71:c2:19:b4:f5,16.0,-81.0,-65.0,-70.0,-69.0,1583042089,1583042111.0,0.0,AC:86:74:73:BC:08,
1443,1443,48:d6:d5:26:6d:0a,38.0,-74.0,-27.0,-49.0,-48.0,1583042108,1583042109.0,0.0,AC:86:74:73:BC:08,
1444,1444,ca:fa:8c:87:fc:c4,4.0,-90.0,-82.0,-86.0,-89.0,1583042089,1583042089.0,0.0,AC:86:74:73:BC:08,
1445,1445,d8:97:ba:42:71:3e,3.0,-91.0,-88.0,-89.0,-88.0,1583042103,1583042113.0,0.0,AC:86:74:73:BC:08,
1446,1446,da:a1:19:51:ba:80,6.0,-79.0,-54.0,-60.0,-56.0,1583042111,1583042111.0,0.0,AC:86:74:73:BC:08,
1447,1447,da:a1:19:bb:c7:c3,7.0,-72.0,-55.0,-58.0,-55.0,1583042096,1583042096.0,0.0,AC:86:74:73:BC:08,
1448,1448,ec:aa:a0:1c:03:dd,1.0,-92.0,-92.0,-92.0,-92.0,1583042113,1583042113.0,0.0,AC:86:74:73:BC:08,
1449,1449,00:71:c2:19:b4:f5,20.0,-76.0,-55.0,-63.0,-76.0,1583042100,1583042121.0,0.0,AC:86:74:92:C5:58,
1450,1450,48:d6:d5:26:6d:0a,34.0,-83.0,-66.0,-69.0,-83.0,1583042109,1583042109.0,0.0,AC:86:74:92:C5:58,
1451,1451,da:a1:19:51:ba:80,4.0,-82.0,-79.0,-80.0,-81.0,1583042111,1583042111.0,0.0,AC:86:74:92:C5:58,
1452,1452,00:71:c2:19:b4:f5,12.0,-82.0,-65.0,-70.0,-81.0,1583042120,1583042142.0,0.0,AC:86:74:73:BC:08,
1453,1453,16:4e:01:50:6e:e9,5.0,-88.0,-84.0,-86.0,-88.0,1583042125,1583042126.0,0.0,AC:86:74:73:BC:08,
1454,1454,d8:97:ba:42:71:3e,5.0,-91.0,-87.0,-88.0,-87.0,1583042124,1583042146.0,0.0,AC:86:74:73:BC:08,
1455,1455,ea:91:3b:9d:c2:bd,1.0,-91.0,-91.0,-91.0,-91.0,1583042141,1583042141.0,0.0,AC:86:74:73:BC:08,
1456,1456,00:71:c2:19:b4:f5,18.0,-76.0,-53.0,-61.0,-76.0,1583042130,1583042150.0,0.0,AC:86:74:92:C5:58,
1457,1457,a0:10:81:6b:29:15,2.0,-92.0,-91.0,-91.0,-91.0,1583042154,1583042154.0,0.0,AC:86:74:92:C5:58,
1458,1458,00:71:c2:19:b4:f5,12.0,-80.0,-66.0,-70.0,-67.0,1583042149,1583042170.0,0.0,AC:86:74:73:BC:08,
1459,1459,d8:97:ba:42:71:3e,4.0,-89.0,-87.0,-88.0,-87.0,1583042153,1583042175.0,0.0,AC:86:74:73:BC:08,
1460,1460,00:71:c2:19:b4:f5,19.0,-79.0,-54.0,-61.0,-57.0,1583042159,1583042181.0,0.0,AC:86:74:92:C5:58,
1461,1461,00:71:c2:19:b4:f5,14.0,-82.0,-65.0,-72.0,-77.0,1583042180,1583042201.0,0.0,AC:86:74:73:BC:08,
1462,1462,d8:97:ba:42:71:3e,3.0,-89.0,-88.0,-88.0,-88.0,1583042186,1583042197.0,0.0,AC:86:74:73:BC:08,
1463,1463,ec:aa:a0:1c:03:dd,1.0,-92.0,-92.0,-92.0,-92.0,1583042202,1583042202.0,0.0,AC:86:74:73:BC:08,
1464,1464,00:71:c2:19:b4:f5,19.0,-72.0,-54.0,-62.0,-71.0,1583042190,1583042212.0,0.0,AC:86:74:92:C5:58,
1465,1465,a0:10:81:6b:29:15,2.0,-93.0,-89.0,-91.0,-89.0,1583042192,1583042192.0,0.0,AC:86:74:92:C5:58,
1466,1466,00:71:c2:19:b4:f5,14.0,-81.0,-65.0,-71.0,-71.0,1583042211,1583042230.0,0.0,AC:86:74:73:BC:08,
1467,1467,48:d6:d5:26:6d:0a,32.0,-76.0,-25.0,-38.0,-59.0,1583042228,1583042229.0,0.0,AC:86:74:73:BC:08,
1468,1468,d8:97:ba:42:71:3e,3.0,-90.0,-87.0,-88.0,-90.0,1583042208,1583042230.0,0.0,AC:86:74:73:BC:08,
1469,1469,00:71:c2:19:b4:f5,20.0,-78.0,-53.0,-63.0,-69.0,1583042219,1583042241.0,0.0,AC:86:74:92:C5:58,
1470,1470,48:d6:d5:26:6d:0a,32.0,-80.0,-67.0,-68.0,-70.0,1583042229,1583042229.0,0.0,AC:86:74:92:C5:58,
1471,1471,a0:10:81:6b:29:15,2.0,-91.0,-87.0,-89.0,-87.0,1583042230,1583042230.0,0.0,AC:86:74:92:C5:58,
